dtdp4d6dg;Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OC3OC(C)C(=O)C(O)C3O)O2)c(=O)[nH]c1=O;MNXM451
dtdp4d6dm;Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OC3OC(C)C(=O)C(O)C3O)O2)c(=O)[nH]c1=O;MNXM451
dtdpglu;Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)O2)c(=O)[nH]c1=O;MNXM1376
dtdprmn;Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OC3OC(C)C(O)C(O)C3O)O2)c(=O)[nH]c1=O;MNXM899
dtmp;Cc1cn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]c1=O;MNXM257
dttp;Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O;MNXM394
dudp;O=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1;MNXM572
dump;O=c1ccn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]1;MNXM234
duri;O=c1ccn(C2CC(O)C(CO)O2)c(=O)[nH]1;MNXM492
dutp;O=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1;MNXM452
dxyl5p;CC(=O)C(O)C(O)COP(=O)(O)O;MNXM622
e4p;O=CC(O)C(O)COP(=O)(O)O;MNXM258
eca2und;;
eca3und;;
eca4colipa;;
eca4und;;
eig3p;O=P(O)(O)OCC(O)C(O)c1c[nH]cn1;MNXM1422
enlipa;;
enter;;
etha;NCCO;MNXM218
etoh;CCO;MNXM303
f6p;O=C(COP(=O)(O)O)C(O)C(O)C(O)CO;MNXM1553
fad;Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)c2cc1C;MNXM33
